ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,_year
13733090,JJ130321,01/28/2025 3:30:00 PM,076XX S RACINE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,612,6,17,71,08A,1169643,1854247,2025,05/17/2025 3:40:52 PM,41.75555424,-87.65386795,"(41.755554244, -87.653867946)",2025
13909076,JJ344224,07/22/2025 12:40:00 PM,011XX W THORNDALE AVE,560,ASSAULT,SIMPLE,TAVERN / LIQUOR STORE,TRUE,FALSE,2433,24,48,77,08A,1167566,1939682,2025,03/14/2026 3:41:39 PM,41.99003945,-87.65901997,"(41.990039445, -87.659019968)",2025
13101860,JG295014,06/09/2023 8:23:00 PM,008XX S KOLMAR AVE,1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY,STREET,TRUE,FALSE,1131,11,24,26,16,1146144,1895827,2023,08/19/2023 3:40:26 PM,41.87013303,-87.73893301,"(41.870133029, -87.738933006)",2023
13701134,JH553823,12/24/2024 5:38:00 AM,043XX N KIMBALL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,CONVENIENCE STORE,FALSE,FALSE,1723,17,33,16,7,1152935,1928827,2024,11/02/2025 3:41:09 PM,41.96055619,-87.71312483,"(41.96055619, -87.71312483)",2024
13967696,JJ415709,09/15/2025 3:20:00 PM,004XX S WESTERN AVE,312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,CTA TRAIN,TRUE,FALSE,1135,11,28,28,3,1160478,1897788,2025,03/14/2026 3:41:39 PM,41.87522977,-87.68625398,"(41.875229772, -87.686253982)",2025
13533923,JH352516,07/18/2024 7:33:00 PM,047XX W AUGUSTA BLVD,2025,NARCOTICS,POSSESS - HALLUCINOGENS,STREET,TRUE,FALSE,1111,11,37,25,18,1144565,1906236,2024,05/17/2025 3:40:52 PM,41.89872642,-87.74446784,"(41.898726416, -87.744467842)",2024
13693839,JH544800,12/16/2024 11:01:00 AM,029XX S DR MARTIN LUTHER KING JR DR,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,133,1,4,35,18,1179389,1885691,2024,11/02/2025 3:41:09 PM,41.84162265,-87.61719144,"(41.841622651, -87.617191438)",2024
13128592,JG326882,07/04/2023 3:50:00 AM,042XX W JACKSON BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,FALSE,TRUE,1115,11,28,26,04A,1148264,1898351,2023,08/19/2023 3:40:26 PM,41.87701863,-87.73108474,"(41.877018633, -87.731084735)",2023
12519581,JE418945,10/22/2021 4:27:00 PM,013XX W TOUHY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,2423,24,49,1,08A,1165943,1947967,2021,10/29/2021 3:40:43 PM,42.01280857,-87.66475169,"(42.012808566, -87.664751692)",2021
13042428,JG223612,04/14/2023 5:25:00 PM,039XX W 63RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,FALSE,FALSE,823,8,13,65,14,1151287,1862539,2023,08/19/2023 3:40:26 PM,41.77868698,-87.72092242,"(41.778686977, -87.720922418)",2023
12572525,JE483286,12/20/2021 2:44:00 AM,062XX N FAIRFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2413,24,50,2,08B,1156870,1941285,2021,12/27/2021 3:41:40 PM,41.9946625,-87.69831823,"(41.994662503, -87.698318226)",2021
13403355,JH194152,03/19/2024 2:01:00 PM,064XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,312,3,20,69,14,1180028,1862378,2024,12/21/2024 3:40:46 PM,41.77763519,-87.61556106,"(41.777635185, -87.615561058)",2024
12956450,JG121006,01/18/2023 3:00:00 PM,008XX E 49TH ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,223,2,4,39,6,1182798,1872706,2023,08/19/2023 3:40:26 PM,41.80591221,-87.60508559,"(41.805912213, -87.605085586)",2023
13625795,JH462384,10/09/2024 6:36:00 PM,038XX W 111TH ST,810,THEFT,OVER $500,RESTAURANT,FALSE,FALSE,2211,22,19,74,6,1152670,1830712,2024,05/17/2025 3:40:52 PM,41.69132095,-87.71668817,"(41.691320951, -87.716688171)",2024
13063530,JG249135,05/05/2023 1:00:00 PM,037XX S ELLIS AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,212,2,4,36,26,1182216,1880471,2023,08/19/2023 3:40:26 PM,41.82723347,-87.60697939,"(41.82723347, -87.606979388)",2023
13789257,JJ197783,03/15/2025 3:20:00 PM,061XX N LINCOLN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1711,17,50,13,6,1152804,1941021,2025,03/14/2026 3:41:39 PM,41.99401984,-87.71328195,"(41.994019837, -87.713281946)",2025
13350099,JH130457,01/07/2024 8:55:00 AM,061XX N WESTERN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,DRUG STORE,FALSE,FALSE,2413,24,40,2,11,1159208,1940733,2024,12/21/2024 3:40:46 PM,41.9930999,-87.68973324,"(41.993099897, -87.689733236)",2024
13528217,JH345506,07/13/2024 5:36:00 PM,015XX S CENTRAL PARK AVE,143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1014,10,24,29,15,1152626,1892136,2024,05/17/2025 3:40:52 PM,41.85987887,-87.71523296,"(41.859878874, -87.715232958)",2024
13927205,JJ366000,08/07/2025 4:00:00 PM,0000X W 95TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,CTA STATION,TRUE,FALSE,511,5,9,49,14,1177703,1841947,2025,03/14/2026 3:41:39 PM,41.72162305,-87.62470134,"(41.721623049, -87.624701342)",2025
12930472,JF519743,12/21/2022 11:30:00 PM,047XX W WABANSIA AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,2533,25,37,25,3,1144520,1910881,2022,11/15/2023 3:41:31 PM,41.91147365,-87.74451602,"(41.911473649, -87.744516018)",2022
13410960,JH203005,03/27/2024 9:34:00 AM,016XX N LUNA AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,TRUE,FALSE,2532,25,37,25,24,1139156,1910308,2024,12/21/2024 3:40:46 PM,41.91000063,-87.76423588,"(41.910000628, -87.764235875)",2024
